#,NAME,Gl(deg),Gb(deg),P0(s),P1,F0(Hz),DM(cm^-3pc),BINARY (type),Binary Period (days),Semi-major axis,BINCOMP,DIST(kpc),DIST_DM(kpc),AGE(Yr),EDOT(ergs/),PMTOT(mas/yr)
18,J0024-7204Q,305.877,-44.899,0.004033,3.40e-20,247.943237,24.29,ELL1,1.1891,1.4622,*,4.00,2.49,1.88e+09,2.05e+34,*
19,J0024-7204R,305.895,-44.889,0.003480,*,287.318095,24.40,BT,0.0662,0.0334,UL[clf+00],4.00,2.49,*,*,*
20,J0024-7204S,305.898,-44.892,0.002830,-1.21e-19,353.306209,24.35,ELL1,1.2017,0.7663,*,4.00,2.49,*,*,*
21,J0024-7204T,305.890,-44.894,0.007588,2.94e-19,131.778699,24.39,ELL1,1.1262,1.3385,*,4.00,2.49,4.09e+08,2.65e+34,*
22,J0024-7204U,305.890,-44.905,0.004343,9.52e-20,230.264772,24.34,ELL1,0.4291,0.5270,He[egh+01],4.00,2.49,7.23e+08,4.59e+34,6.801
23,J0024-7204V,305.895,-44.889,0.004810,*,207.900208,24.10,*,*,*,*,4.00,2.49,*,*,*
24,J0024-7204W,305.894,-44.890,0.002352,*,425.107892,24.30,BT,0.1329,0.2435,MS[egc+02],4.00,2.49,*,*,*
25,J0024-7204X,305.895,-44.889,0.004771,*,209.599665,24.00,*,*,*,*,4.00,2.49,*,*,*
26,J0024-7204Y,305.895,-44.889,0.002197,*,455.236586,24.20,BT,0.5219,0.6718,*,4.00,2.49,*,*,*
27,J0024-7204Z,305.895,-44.889,0.004554,*,219.587176,24.47,*,*,*,*,4.00,2.49,*,*,*
28,J0026+6320,120.176,0.593,0.318358,1.50e-16,3.141121,230.31,*,*,*,*,13.60,13.60,3.36e+07,1.84e+32,*
29,J0030+0451,113.141,-57.611,0.004865,1.02e-20,205.530699,4.33,*,*,*,*,0.30,0.23,7.58e+09,3.49e+33,6.283
30,J0033+57,120.410,-5.781,0.315000,*,3.174603,76.00,*,*,*,*,3.34,3.34,*,*,*
31,J0033+61,120.698,-1.792,0.912000,*,1.096491,37.00,*,*,*,*,1.92,1.92,*,*,*
32,J0034-0534,111.492,-68.069,0.001877,4.97e-21,532.713430,13.77,ELL1,1.5893,1.4378,He[bkb+95],0.98,0.98,5.99e+09,2.96e+34,31.484
33,B0031-07,110.420,-69.815,0.942951,4.08e-16,1.060500,10.92,*,*,*,*,1.03,0.63,3.66e+07,1.92e+31,15.212
34,J0034+69,121.411,6.896,0.036804,*,27.170871,80.00,*,*,*,*,3.99,3.99,*,*,*
35,B0037+56,121.452,-5.567,1.118225,2.88e-15,0.894274,92.59,*,*,*,*,4.48,4.48,6.15e+06,8.13e+31,7.616
36,J0045-7042,303.652,-46.418,0.632336,2.49e-15,1.581438,70.00,*,*,*,*,59.70,2.43,4.02e+06,3.89e+32,*
37,J0045-7319,303.514,-43.804,0.926276,4.46e-15,1.079592,105.40,BT,51.1695,174.2576,MS[bbs+95],59.70,2.55,3.29e+06,2.22e+32,*
38,B0045+33,122.255,-28.666,1.217094,2.35e-15,0.821629,39.94,*,*,*,*,3.68,3.68,8.19e+06,5.16e+31,*
39,J0051+0423,122.962,-58.491,0.354732,7.00e-18,2.819031,13.90,*,*,*,*,0.94,0.94,8.03e+08,6.19e+30,*
40,J0053+69,123.069,6.779,0.832938,*,1.200570,117.00,*,*,*,*,8.40,8.40,*,*,*
41,J0054+66,123.193,3.130,1.390000,*,0.719424,15.00,*,*,*,*,0.81,0.81,*,*,*
42,J0054+69,123.200,6.563,*,*,*,90.30,*,*,*,*,4.73,4.73,*,*,*
43,B0052+51,123.621,-11.576,2.115171,9.54e-15,0.472775,44.12,*,*,*,*,2.40,2.40,3.51e+06,3.98e+31,*
44,B0053+47,123.796,-14.927,0.472037,3.33e-15,2.118480,18.09,*,*,*,*,1.00,1.00,2.25e+06,1.25e+33,*
45,J0057-7201,302.244,-45.098,0.738062,1.00e-16,1.354899,27.00,*,*,*,*,2.49,2.49,1.17e+08,9.82e+30,*
46,J0058+6125,123.717,-1.445,0.637000,*,1.569859,129.00,*,*,*,*,5.81,5.81,*,*,*
47,J0059+50,124.177,-12.820,0.996009,*,1.004007,67.00,*,*,*,*,5.79,5.79,*,*,*
48,J0100-7211,301.930,-44.918,8.020392,1.88e-11,0.124682,*,*,*,*,*,59.70,*,6.76e+03,1.44e+33,*
49,J0101-6422,301.192,-52.720,0.002573,5.16e-21,388.628426,11.93,BT,1.7876,1.7010,He[kcj+12],0.73,0.73,7.90e+09,1.20e+34,15.620
50,J0102+4839,124.932,-14.827,0.002960,*,337.837838,53.50,BT,1.6700,*,He[hrm+11],4.03,4.03,*,*,*
51,B0059+65,124.080,2.773,1.679164,5.95e-15,0.595534,65.85,*,*,*,*,2.45,2.45,4.47e+06,4.97e+31,*
52,J0103+54,124.741,-8.796,0.354304,*,2.822435,55.60,*,*,*,*,2.69,2.69,*,*,*
53,J0106+4855,125.465,-13.867,0.083157,4.28e-16,12.025402,70.87,*,*,*,*,7.33,7.33,3.08e+06,2.94e+34,*
54,J0108-1431,140.930,-76.815,0.807565,7.70e-17,1.238291,2.38,*,*,*,*,0.21,0.13,1.66e+08,5.77e+30,169.989
55,B0105+65,124.646,3.327,1.283660,1.31e-14,0.779023,30.46,*,*,*,*,1.65,1.65,1.56e+06,2.44e+32,*
56,B0105+68,124.461,6.277,1.071118,4.81e-17,0.933604,61.09,*,*,*,*,2.59,2.59,3.53e+08,1.55e+30,*
57,J0111-7131,300.669,-45.510,0.688542,7.09e-15,1.452345,76.00,*,*,*,*,59.70,2.46,1.54e+06,8.58e+32,*
58,J0112+66,124.994,3.577,4.301240,*,0.232491,112.00,*,*,*,*,5.25,5.25,*,*,*
59,J0113-7220,300.615,-44.688,0.325883,4.86e-15,3.068586,125.49,*,*,*,*,59.70,2.51,1.06e+06,5.54e+33,*
60,B0114+58,126.283,-3.457,0.101439,5.85e-15,9.858135,49.42,*,*,*,*,2.14,2.14,2.75e+05,2.21e+35,18.385
61,J0125+62,126.899,-0.022,1.708233,*,0.585400,118.00,*,*,*,*,5.10,5.10,*,*,*
62,J0131-7310,298.944,-43.648,0.348124,1.76e-15,2.872539,205.20,*,*,*,*,59.70,2.55,3.13e+06,1.65e+33,*
63,J0133-6957,297.691,-46.739,0.463474,1.20e-16,2.157620,22.95,*,*,*,*,2.42,2.42,6.12e+07,4.76e+31,*
64,J0134-2937,230.251,-80.250,0.136962,7.84e-17,7.301317,21.81,*,*,*,*,1.78,1.78,2.77e+07,1.20e+33,22.472
65,J0136+63,127.844,1.254,0.717895,*,1.392961,286.00,*,*,*,*,24.03,24.03,*,*,*
66,J0137+1654,138.449,-44.571,0.414763,1.22e-17,2.411015,26.60,*,*,*,*,2.51,2.51,5.37e+08,6.77e+30,*
67,J0139+5621,129.609,-5.885,1.775344,7.91e-14,0.563271,101.84,*,*,*,*,5.54,5.54,3.56e+05,5.58e+32,*
68,B0136+57,129.216,-4.044,0.272451,1.07e-14,3.670390,73.78,*,*,*,*,2.60,2.89,4.03e+05,2.09e+34,25.313
69,B0138+59,129.147,-2.105,1.222949,3.91e-16,0.817696,34.93,*,*,*,*,2.30,2.61,4.95e+07,8.44e+30,*
70,J0141+63,128.497,0.798,0.046686,*,21.419753,272.60,*,*,*,*,21.68,21.68,*,*,*
71,J0146+6145,129.384,-0.431,8.688994,1.99e-12,0.115088,*,*,*,*,*,3.60,*,6.91e+04,1.20e+32,4.519
72,B0144+59,130.059,-2.723,0.196321,2.57e-16,5.093689,40.11,*,*,*,*,1.91,1.91,1.21e+07,1.34e+33,10.698
73,B0148-06,160.368,-65.004,1.464665,4.43e-16,0.682750,25.66,*,*,*,*,1.93,1.93,5.24e+07,5.56e+30,33.541
74,J0152+0948,146.812,-50.221,2.746647,1.70e-15,0.364080,21.87,*,*,*,*,2.30,2.30,2.56e+07,3.24e+30,*
75,B0149-16,179.305,-72.456,0.832742,1.30e-15,1.200853,11.93,*,*,*,*,0.69,0.69,1.02e+07,8.88e+31,27.177
76,B0153+39,136.369,-21.332,1.811561,1.52e-16,0.552010,60.00,*,*,*,*,4.85,4.85,1.89e+08,1.01e+30,*
77,B0154+61,130.586,0.326,2.351745,1.89e-13,0.425216,30.21,*,*,*,*,1.61,1.61,1.97e+05,5.73e+32,*
78,J0158+21,143.208,-39.084,0.505300,*,1.979022,20.00,*,*,*,*,1.45,1.45,*,*,*
79,J0201+7005,128.889,8.033,1.349184,5.51e-15,0.741188,21.03,*,*,*,*,1.15,1.15,3.88e+06,8.86e+31,*
80,J0205+6449,130.719,3.084,0.065716,1.94e-13,15.217011,140.70,*,*,*,*,3.20,7.53,5.37e+03,2.70e+37,1.501
81,B0203-40,258.595,-69.633,0.630550,1.20e-15,1.585917,12.90,*,*,*,*,0.88,0.88,8.33e+06,1.89e+32,75.664
82,J0211-8159,299.592,-34.606,1.077333,2.90e-16,0.928218,24.36,*,*,*,*,1.83,1.83,5.89e+07,9.16e+30,*
83,J0212+5222,135.332,-8.521,0.376386,6.60e-15,2.656845,38.00,*,*,*,*,1.91,1.91,9.04e+05,4.89e+33,*
84,J0214+5222,135.632,-8.423,0.024575,2.99e-19,40.691272,22.04,BT,512.0397,174.5658,He[slr+14],1.21,1.21,1.30e+09,7.95e+32,*
85,J0215+6218,132.575,1.030,0.548880,6.62e-16,1.821892,84.00,*,*,*,*,3.19,3.19,1.31e+07,1.58e+32,*
86,J0218+4232,139.508,-17.527,0.002323,7.74e-20,430.461066,61.25,ELL1,2.0288,1.9844,He[ker96],3.15,5.85,4.76e+08,2.44e+35,6.528
87,J0229+20,151.579,-36.417,0.806900,*,1.239311,27.00,*,*,*,*,2.97,2.97,*,*,*
88,B0226+70,131.155,9.181,1.466820,3.11e-15,0.681747,46.64,*,*,*,*,2.25,2.25,7.47e+06,3.89e+31,*
89,J0241+16,157.964,-39.185,1.545400,*,0.647082,16.00,*,*,*,*,1.01,1.01,*,*,*
90,J0242+62,135.187,2.751,0.592000,*,1.689189,4.00,*,*,*,*,0.21,0.21,*,*,*
91,J0243+6027,136.271,0.500,1.473000,*,0.678887,141.00,*,*,*,*,6.99,6.99,*,*,*
92,J0244+14,159.914,-40.140,2.128100,*,0.469903,31.00,*,*,*,*,2.73,2.73,*,*,*
93,J0248+6021,136.903,0.697,0.217094,5.51e-14,4.606300,370.00,*,*,*,*,2.00,23.23,6.24e+04,2.13e+35,67.882
94,B0254-53,269.862,-55.310,0.447708,3.06e-17,2.233596,15.90,*,*,*,*,1.15,1.15,2.32e+08,1.35e+31,70.000
95,B0301+19,161.135,-33.270,1.387584,1.30e-15,0.720677,15.74,*,*,*,*,0.95,0.95,1.70e+07,1.91e+31,37.483
96,J0308+74,132.090,13.608,0.003160,*,316.455696,6.35,*,*,*,*,0.34,0.34,*,*,*
97,B0320+39,152.180,-14.338,3.032072,6.36e-16,0.329807,26.17,*,*,*,*,2.61,2.61,7.56e+07,9.00e+29,34.000
98,J0324+5239,145.094,-3.480,0.336620,3.81e-16,2.970707,119.00,*,*,*,*,6.28,6.28,1.40e+07,3.94e+32,*
99,J0325+67,136.750,9.193,1.364741,*,0.732740,65.00,*,*,*,*,3.49,3.49,*,*,*
100,J0329+1654,168.499,-31.683,0.893320,2.15e-16,1.119420,42.10,*,*,*,*,3.35,3.35,6.58e+07,1.19e+31,*
101,B0329+54,144.995,-1.221,0.714520,2.05e-15,1.399542,26.76,*,*,*,*,1.00,1.44,5.53e+06,2.22e+32,19.474
102,J0332+79,130.309,18.683,2.056210,*,0.486332,16.67,*,*,*,*,0.93,0.93,*,*,*
103,B0331+45,150.348,-8.038,0.269201,7.35e-18,3.714703,47.15,*,*,*,*,2.08,2.08,5.80e+08,1.49e+31,6.403
104,J0337+1715,169.990,-30.039,0.002733,1.77e-20,365.953363,21.32,ELL1,1.6294,1.2175,HeT[rsa+14],1.30,1.40,2.45e+09,3.42e+34,*
105,J0338+66,138.422,9.044,1.762000,*,0.567537,67.00,*,*,*,*,3.63,3.63,*,*,*
106,J0340+4130,153.783,-11.022,0.003290,*,303.951368,49.60,*,*,*,*,2.67,2.67,*,*,5.166
107,J0341+5711,144.371,1.546,1.888000,*,0.529661,100.00,*,*,*,*,4.47,4.47,*,*,*
108,J0343-3000,227.758,-52.338,2.597027,5.70e-17,0.385056,20.20,*,*,*,*,2.22,2.22,7.22e+08,1.28e+29,*
109,B0339+53,147.017,-1.428,1.934478,1.34e-14,0.516935,67.30,*,*,*,*,2.48,2.48,2.28e+06,7.32e+31,*
110,J0348+0432,183.337,-36.774,0.039123,2.41e-19,25.560636,40.46,ELL1,0.1024,0.1410,He[afw+13],2.10,2.94,2.57e+09,1.59e+32,5.345
111,J0357+3205,162.760,-16.006,0.444104,1.30e-14,2.251722,*,*,*,*,*,*,*,5.40e+05,5.88e+33,164.055
112,B0353+52,149.099,-0.522,0.197030,4.77e-16,5.075367,103.71,*,*,*,*,4.73,4.73,6.55e+06,2.46e+33,10.817
113,J0358+42,155.987,-8.492,0.226478,*,4.415446,46.00,*,*,*,*,2.07,2.07,*,*,*
114,B0355+54,148.190,0.811,0.156382,4.40e-15,6.394581,57.14,*,*,*,*,1.00,2.07,5.64e+05,4.54e+34,12.304
115,J0358+66,139.944,10.176,0.091507,*,10.928147,62.30,*,*,*,*,3.52,3.52,*,*,*
116,B0403-76,290.313,-35.907,0.545253,1.54e-15,1.834012,21.60,*,*,*,*,1.50,1.50,5.62e+06,3.75e+32,*
117,B0402+61,144.025,7.046,0.594576,5.57e-15,1.681870,65.30,*,*,*,*,3.05,3.05,1.69e+06,1.05e+33,65.192
118,J0407+1607,176.618,-25.656,0.025702,7.90e-20,38.907873,35.65,BT,669.0704,106.4503,He[lxf+05],4.07,4.07,5.15e+09,1.84e+32,*
119,J0408+551,148.663,2.267,1.837000,*,0.544366,55.00,*,*,*,*,2.04,2.04,*,*,*
120,J0408+552,148.663,2.267,0.754000,*,1.326260,64.00,*,*,*,*,2.36,2.36,*,*,*
121,J0410-31,230.586,-46.671,1.878500,*,0.532340,9.20,*,*,*,*,0.52,0.52,*,*,*
122,J0413+58,147.122,4.934,0.687000,*,1.455604,57.00,*,*,*,*,2.24,2.24,*,*,*
123,B0410+69,138.911,13.667,0.390715,7.66e-17,2.559410,27.46,*,*,*,*,1.57,1.57,8.08e+07,5.07e+31,12.649
124,J0417+35,163.219,-10.518,0.654400,*,1.528117,51.00,*,*,*,*,2.68,2.68,*,*,*
125,J0417+61,145.299,7.540,0.440283,*,2.271266,71.00,*,*,*,*,3.60,3.60,*,*,*
126,J0418-4154,246.260,-45.681,0.757119,9.74e-16,1.320797,24.54,*,*,*,*,2.46,2.46,1.23e+07,8.86e+31,*
127,J0418+5732,147.979,5.119,9.078388,4.10e-15,0.110152,*,*,*,*,*,*,*,3.51e+07,2.16e+29,*
128,J0419+44,157.525,-4.494,1.241000,*,0.805802,71.00,*,*,*,*,3.12,3.12,*,*,*
129,J0420-5022,258.136,-44.386,3.453004,2.76e-14,0.289603,*,*,*,*,*,*,*,1.98e+06,2.65e+31,*
130,J0421-0345,197.504,-34.757,2.161308,1.16e-15,0.462683,44.61,*,*,*,*,3.09,3.09,2.94e+07,4.55e+30,*
131,J0426+4933,154.436,0.288,0.922475,3.93e-14,1.084041,85.00,*,*,*,*,3.60,3.60,3.71e+05,1.98e+33,*
132,J0435+27,171.863,-13.176,0.326279,*,3.064859,53.00,*,*,*,*,3.43,3.43,*,*,*
133,J0437-4715,253.394,-41.963,0.005757,5.73e-20,173.687946,2.64,T2,5.7410,3.3667,He[vbv+08],0.16,0.14,1.59e+09,1.19e+34,140.911
134,J0447-04,202.072,-29.657,2.188190,*,0.456999,29.83,*,*,*,*,2.90,2.90,*,*,*
135,J0448-2749,228.347,-37.918,0.450448,1.48e-16,2.220010,26.22,*,*,*,*,2.87,2.87,4.81e+07,6.41e+31,*
136,J0449-7031,282.286,-35.512,0.479164,3.37e-15,2.086968,65.83,*,*,*,*,49.70,3.03,2.25e+06,1.21e+33,*
137,B0447-12,211.075,-32.629,0.438014,1.03e-16,2.283031,37.04,*,*,*,*,3.27,3.27,6.76e+07,4.82e+31,*
138,J0451-67,278.410,-36.290,0.245454,0.00e+00,4.074078,45.00,*,*,*,*,49.70,2.97,*,*,*
139,B0450-18,217.078,-34.087,0.548939,5.75e-15,1.821695,39.90,*,*,*,*,0.40,3.14,1.51e+06,1.37e+33,13.841
140,J0453+1559,184.125,-17.137,0.045782,1.86e-18,21.842733,30.31,DDH,4.0725,14.4668,NS[msf+15],1.83,1.83,3.90e+08,7.66e+32,8.139
141,B0450+55,152.617,7.547,0.340729,2.37e-15,2.934880,14.59,*,*,*,*,1.18,0.90,2.28e+06,2.37e+33,56.156
142,B0456-69,281.290,-35.187,0.320423,1.02e-14,3.120877,94.89,*,*,*,*,49.70,3.06,4.97e+05,1.23e+34,*
143,J0456-69,280.457,-35.334,0.117073,*,8.541675,103.00,*,*,*,*,49.70,3.05,*,*,*
144,J0456-7031,282.049,-34.966,0.800132,3.67e-14,1.249794,100.30,*,*,*,*,49.70,3.08,3.45e+05,2.83e+33,*
145,J0457+23,178.305,-12.005,0.504900,*,1.980590,59.00,*,*,*,*,3.89,3.89,*,*,*
146,J0457-6337,273.816,-36.701,2.497012,2.10e-16,0.400479,27.50,*,*,*,*,2.94,2.94,1.88e+08,5.32e+29,*
147,J0457-69,281.143,-35.113,0.231390,*,4.321701,91.00,*,*,*,*,49.70,3.06,*,*,*
148,J0458-0505,204.139,-27.348,1.883480,5.30e-16,0.530932,47.81,*,*,*,*,3.83,3.83,5.63e+07,3.13e+30,*
149,J0458-67,278.670,-35.518,1.133900,*,0.881912,97.00,*,*,*,*,49.70,3.03,*,*,*
150,J0459-0210,201.444,-25.678,1.133076,1.40e-15,0.882553,21.02,*,*,*,*,1.30,1.30,1.28e+07,3.79e+31,*
151,J0501+4516,161.547,1.949,5.762097,5.82e-12,0.173548,*,*,*,*,*,2.20,*,1.57e+04,1.20e+33,*
152,B0458+46,160.363,3.077,0.638565,5.58e-15,1.566010,42.19,*,*,*,*,1.78,1.78,1.81e+06,8.46e+32,11.314
153,B0502-66,276.869,-35.504,0.691251,2.31e-14,1.446652,68.90,*,*,*,*,49.70,3.03,4.74e+05,2.76e+33,*
154,J0509+08,192.482,-17.919,0.004100,*,243.902439,38.00,*,*,*,*,2.58,2.58,*,*,*
155,J0510+38,168.184,-1.009,0.076564,*,13.060900,69.00,*,*,*,*,2.74,2.74,*,*,*
156,J0511-6508,275.250,-34.827,0.322062,2.06e-16,3.104994,25.66,*,*,*,*,2.17,2.17,2.48e+07,2.43e+32,*
157,J0514-4002A,244.514,-35.036,0.004991,1.17e-21,200.377707,52.15,BT,18.7852,36.2966,*,12.10,3.06,6.75e+10,3.72e+32,*
158,J0514-4407,249.484,-35.364,0.302200,*,3.309067,15.40,*,*,*,*,0.92,0.92,*,*,*
159,J0517+22,182.117,-9.006,0.222344,*,4.497535,20.00,*,*,*,*,1.10,1.10,*,*,*
160,J0519+44,164.464,3.754,0.515000,*,1.941748,52.00,*,*,*,*,2.03,2.03,*,*,*
161,J0519+54,155.893,9.768,0.340194,*,2.939499,43.00,*,*,*,*,2.03,2.03,*,*,*
162,J0519-6932,280.287,-33.254,0.263212,6.97e-16,3.799224,119.40,*,*,*,*,49.70,3.21,5.98e+06,1.51e+33,*
163,J0520-2553,228.434,-30.543,0.241642,3.01e-17,4.138350,33.77,*,*,*,*,3.47,3.47,1.27e+08,8.42e+31,*
164,J0521-68,279.124,-33.262,0.433421,*,2.307227,136.00,*,*,*,*,49.70,3.21,*,*,*
165,J0522-6847,279.348,-33.168,0.674532,1.77e-14,1.482510,126.45,*,*,*,*,49.70,3.21,6.03e+05,2.28e+33,*
166,B0523+11,192.695,-13.246,0.354438,7.36e-17,2.821371,79.34,*,*,*,*,7.68,7.68,7.63e+07,6.53e+31,30.265
167,J0525-6607,276.087,-33.246,8.047000,6.50e-11,0.124270,*,*,*,*,*,*,*,1.96e+03,4.92e+33,*
168,B0525+21,183.856,-6.896,3.745539,4.01e-14,0.266984,50.94,*,*,*,*,2.28,2.28,1.48e+06,3.01e+31,21.190
169,B0529-66,276.974,-32.763,0.975725,1.55e-14,1.024879,103.20,*,*,*,*,49.70,3.26,9.97e+05,6.59e+32,*
170,J0532-6639,276.675,-32.481,0.642743,5.35e-15,1.555832,69.30,*,*,*,*,49.70,3.27,1.90e+06,7.96e+32,*
171,J0532-69,280.333,-32.163,0.574598,*,1.740348,124.00,*,*,*,*,49.70,3.30,*,*,*
172,J0533+0402,200.084,-15.326,0.963018,1.60e-16,1.038403,83.70,*,*,*,*,6.66,6.66,9.54e+07,7.07e+30,*
173,J0533+67,145.652,17.640,0.004390,*,227.790433,57.40,*,*,*,*,5.80,5.80,*,*,*
174,B0531+21,184.558,-5.784,0.033392,4.21e-13,29.946923,56.79,*,*,*,*,2.00,2.49,1.26e+03,4.46e+38,14.835
175,J0534-6703,277.129,-32.279,1.817565,4.25e-13,0.550187,94.70,*,*,*,*,49.70,3.30,6.78e+04,2.79e+33,*
176,J0535-66,276.884,-32.197,0.210524,*,4.750044,75.00,*,*,*,*,49.70,3.30,*,*,*
177,J0535-6935,280.076,-31.936,0.200511,1.15e-14,4.987249,93.70,*,*,*,*,49.70,3.33,2.76e+05,5.63e+34,*
178,B0538-75,287.162,-30.821,1.245856,5.65e-16,0.802661,17.50,*,*,*,*,1.04,1.04,3.49e+07,1.15e+31,*
179,J0537-69,279.768,-31.730,0.112613,*,8.879953,273.00,*,*,*,*,49.70,3.35,*,*,*
180,J0537-6910,279.559,-31.745,0.016122,5.18e-14,62.026190,*,*,*,*,*,49.70,*,4.93e+03,4.88e+38,*
181,J0538+2817,179.719,-1.686,0.143158,3.67e-15,6.985276,39.57,*,*,*,*,1.30,1.77,6.18e+05,4.94e+34,57.886
182,J0540+3207,176.719,0.761,0.524271,4.48e-16,1.907411,61.97,*,*,*,*,2.37,2.37,1.85e+07,1.23e+32,*
183,B0540-69,279.717,-31.516,0.050499,4.79e-13,19.802444,146.50,*,*,*,*,49.70,3.36,1.67e+03,1.47e+38,*
184,J0540-7125,282.148,-31.236,1.286015,8.20e-16,0.777596,29.41,*,*,*,*,2.69,2.69,2.48e+07,1.52e+31,*
185,J0542-68,278.449,-31.406,0.425189,*,2.351895,114.00,*,*,*,*,49.70,3.38,*,*,*
186,B0540+23,184.363,-3.318,0.245975,1.54e-14,4.065458,77.71,*,*,*,*,3.54,3.54,2.53e+05,4.09e+34,22.472
187,J0543-6851,279.125,-31.235,0.708954,3.94e-15,1.410528,131.00,*,*,*,*,49.70,3.39,2.85e+06,4.37e+32,*
188,J0545-03,208.094,-16.213,1.073930,*,0.931159,67.20,*,*,*,*,6.30,6.30,*,*,*
189,J0546+2441,183.728,-2.045,2.843850,7.65e-15,0.351636,73.81,*,*,*,*,3.16,3.16,5.89e+06,1.31e+31,*
190,J0554+3107,179.058,2.697,0.464961,1.43e-13,2.150718,*,*,*,*,*,*,*,5.17e+04,5.60e+34,*
191,J0555+3948,171.610,7.192,1.146906,*,0.871911,37.00,*,*,*,*,1.76,1.76,*,*,*
192,J0555-7056,281.460,-30.119,0.827838,5.96e-15,1.207966,73.40,*,*,*,*,49.70,3.51,2.20e+06,4.15e+32,*
193,J0557+1550,192.684,-4.309,0.002556,7.35e-21,391.180128,102.57,ELL1,4.8466,4.0545,He[skl+15],5.65,5.65,5.51e+09,1.74e+34,*
194,B0559-57,266.492,-29.343,2.261365,2.78e-15,0.442211,30.00,*,*,*,*,2.55,2.55,1.29e+07,9.49e+30,*
195,B0559-05,212.199,-13.481,0.395969,1.30e-15,2.525449,80.54,*,*,*,*,7.54,7.54,4.82e+06,8.28e+32,24.083
196,J0605+37,175.037,7.549,0.002730,*,366.300366,21.00,BT,55.6000,*,He[rap+12],1.16,1.16,*,*,*
197,J0608+00,207.445,-9.171,1.076200,*,0.929195,48.00,*,*,*,*,2.58,2.58,*,*,*
198,J0609+2130,189.192,1.040,0.055698,2.35e-19,17.953962,38.73,*,*,*,*,1.82,1.82,3.76e+09,5.37e+31,*
199,J0610-2100,227.747,-18.184,0.003861,1.24e-20,258.978479,60.67,BT,0.2860,0.0735,UL[pmd+12],5.64,5.64,4.95e+09,8.47e+33,13.038
200,J0610+37,175.336,8.746,0.443861,*,2.252958,39.00,*,*,*,*,1.88,1.88,*,*,*
201,J0611+30,181.624,5.496,1.412090,*,0.708170,45.30,*,*,*,*,1.95,1.95,*,*,*
202,B0609+37,175.450,9.093,0.297982,5.95e-17,3.355904,27.14,*,*,*,*,1.49,1.49,7.94e+07,8.87e+31,7.071
203,J0613-0200,210.413,-9.305,0.003062,9.59e-21,326.600562,38.78,ELL1,1.1985,1.0914,He[lnl+95],1.09,2.19,5.06e+09,1.32e+34,10.517
204,J0613+3731,175.336,9.239,0.619198,3.24e-15,1.614992,18.99,*,*,*,*,1.05,1.05,3.02e+06,5.40e+32,*
205,B0611+22,188.785,2.400,0.334960,5.94e-14,2.985431,96.91,*,*,*,*,4.74,4.74,8.93e+04,6.24e+34,5.000
